ID,TMC,Severity,Start_Time,End_Time,City,State,Timezone,Visibility(mi),Temperature(F),Humidity(%),Wind_Speed(mph),Precipitation(in),Weather_Condition
A-6,201,3,2/8/2016 7:44,2/8/2016 8:14,Westerville,OH,US/Eastern,7,37.9,97,3.5,0.03,Light Rain
A-10,201,3,2/8/2016 8:10,2/8/2016 8:40,Westerville,OH,US/Eastern,3,37.4,100,4.6,0.02,Light Rain
A-12,241,3,2/8/2016 8:21,2/8/2016 8:51,Reynoldsburg,OH,US/Eastern,3,37.4,100,4.6,0.02,Light Rain
A-15,201,2,2/8/2016 8:39,2/8/2016 9:09,Columbus,OH,US/Eastern,3,37.4,100,4.6,0.02,Light Rain
A-21,201,2,2/8/2016 10:11,2/8/2016 10:41,Columbus,OH,US/Eastern,2,33.8,100,4.6,0.01,Light Snow
A-23,201,2,2/8/2016 11:53,2/8/2016 12:23,Miamisburg,OH,US/Eastern,6,35.1,89,8.1,0.02,Overcast
A-24,201,3,2/8/2016 12:00,2/8/2016 12:45,Columbus,OH,US/Eastern,8,37,96,5.8,0,Overcast
A-26,201,2,2/8/2016 12:41,2/8/2016 13:11,Johnstown,OH,US/Eastern,5,37.9,100,4.6,0.01,Light Snow
A-27,201,2,2/8/2016 12:52,2/8/2016 13:37,Dayton,OH,US/Eastern,7,36,86,9.2,0,Light Snow
A-28,201,2,2/8/2016 14:24,2/8/2016 15:09,Dayton,OH,US/Eastern,10,39.9,70,11.5,0,Mostly Cloudy
A-31,201,2,2/8/2016 16:16,2/8/2016 16:46,Dublin,OH,US/Eastern,10,37,89,6.9,0,Overcast
A-32,201,2,2/8/2016 17:39,2/8/2016 18:24,Dayton,OH,US/Eastern,10,34.2,97,3.5,0.02,Light Rain
A-35,201,2,2/8/2016 20:22,2/8/2016 21:07,Columbus,OH,US/Eastern,7,33.1,92,8.1,0,Light Snow
A-36,201,2,2/8/2016 20:43,2/8/2016 23:00,Columbus,OH,US/Eastern,9,33.1,92,9.2,0,Overcast
A-39,201,2,2/9/2016 5:17,2/9/2016 5:47,Dayton,OH,US/Eastern,4,22.8,89,11.5,0,Light Snow
A-40,201,3,2/9/2016 5:27,2/9/2016 5:57,Columbus,OH,US/Eastern,1.5,26.6,86,8.1,0.01,Light Snow
A-41,201,2,2/9/2016 5:40,2/9/2016 6:10,Lebanon,OH,US/Eastern,0.8,21,85,9.2,0.01,Light Snow
A-42,201,2,2/9/2016 5:47,2/9/2016 6:17,Dayton,OH,US/Eastern,3,23,86,10.4,0,Light Snow
A-43,201,2,2/9/2016 5:56,2/9/2016 6:26,Sabina,OH,US/Eastern,1.8,19.9,89,13.8,0,Light Snow
A-44,201,3,2/9/2016 6:06,2/9/2016 6:36,Columbus,OH,US/Eastern,1,25,88,9.2,0.02,Light Snow
A-45,201,3,2/9/2016 6:13,2/9/2016 6:43,Dayton,OH,US/Eastern,2,23,88,15,0,Light Snow
A-46,201,3,2/9/2016 6:12,2/9/2016 6:42,Columbus,OH,US/Eastern,1,25,88,9.2,0.02,Light Snow
A-47,201,2,2/9/2016 6:21,2/9/2016 6:51,Columbus,OH,US/Eastern,2,26.1,84,12.7,0,Light Snow
A-48,201,3,2/9/2016 6:20,2/9/2016 6:50,Columbus,OH,US/Eastern,1,24.8,86,8.1,0.01,Light Snow
A-51,201,2,2/9/2016 6:48,2/9/2016 7:18,Dayton,OH,US/Eastern,2,21.9,92,12.7,0.01,Light Snow
A-52,201,2,2/9/2016 6:53,2/9/2016 7:23,Dayton,OH,US/Eastern,2,21.9,92,12.7,0.01,Light Snow
A-53,201,3,2/9/2016 6:54,2/9/2016 7:24,Dayton,OH,US/Eastern,2,21.9,92,12.7,0.01,Light Snow
A-55,201,3,2/9/2016 7:05,2/9/2016 7:35,Dayton,OH,US/Eastern,1.2,21,85,9.2,0,Light Snow
A-57,201,2,2/9/2016 7:15,2/9/2016 7:45,Dayton,OH,US/Eastern,2,21.9,92,12.7,0,Light Snow
A-58,201,2,2/9/2016 7:41,2/9/2016 8:11,Dayton,OH,US/Eastern,1.2,22.5,90,9.2,0,Light Snow
A-59,201,2,2/9/2016 7:42,2/9/2016 8:12,Dayton,OH,US/Eastern,1.2,22.5,90,9.2,0,Light Snow
A-60,201,2,2/9/2016 7:42,2/9/2016 8:12,Dayton,OH,US/Eastern,1.2,22.5,90,9.2,0,Light Snow
A-61,201,3,2/9/2016 7:46,2/9/2016 8:16,Columbus,OH,US/Eastern,1.8,24.8,86,8.1,0,Light Snow
A-62,201,2,2/9/2016 7:54,2/9/2016 8:24,Dayton,OH,US/Eastern,2,21.2,93,12.7,0,Light Snow
A-63,201,2,2/9/2016 8:06,2/9/2016 8:36,Waynesville,OH,US/Eastern,1.2,21,81,9.2,0,Light Snow
A-64,201,2,2/9/2016 8:12,2/9/2016 8:42,Springboro,OH,US/Eastern,1.2,21,81,9.2,0,Light Snow
A-65,201,2,2/9/2016 8:10,2/9/2016 8:40,Carroll,OH,US/Eastern,0.8,21.9,85,11.5,0,Light Snow
A-66,201,3,2/9/2016 8:23,2/9/2016 8:53,Miamisburg,OH,US/Eastern,1.2,21,81,9.2,0,Light Snow
A-67,201,3,2/9/2016 8:24,2/9/2016 8:54,Oregonia,OH,US/Eastern,1.2,21,81,9.2,0,Light Snow
A-71,241,2,2/9/2016 11:09,2/9/2016 11:39,Findlay,OH,US/Eastern,2.5,27,81,19.6,0,Light Snow
A-73,241,3,2/10/2016 6:06,2/10/2016 9:06,Columbus,OH,US/Eastern,4,15.8,73,11.5,0,Light Snow
A-74,201,2,2/10/2016 6:24,2/10/2016 6:54,Columbus,OH,US/Eastern,4,15.8,73,11.5,0,Light Snow
A-75,201,2,2/10/2016 6:53,2/10/2016 7:23,Fairborn,OH,US/Eastern,7,15.4,82,13.8,0,Light Snow
A-77,201,3,2/10/2016 7:50,2/10/2016 8:20,Columbus,OH,US/Eastern,1,15.1,77,8.1,0.01,Light Snow
A-79,201,2,2/10/2016 8:08,2/10/2016 8:38,Columbus,OH,US/Eastern,1.5,16,81,13.8,0,Light Snow
A-81,201,2,2/10/2016 8:50,2/10/2016 9:20,Reynoldsburg,OH,US/Eastern,1,16,77,9.2,0,Light Snow
A-84,241,3,2/10/2016 10:38,2/10/2016 11:08,Columbus,OH,US/Eastern,1.5,17.1,77,13.8,0,Light Snow
A-85,201,3,2/10/2016 17:10,2/10/2016 23:59,Barberton,OH,US/Eastern,1,19.9,81,10.4,0,Light Snow
A-86,201,3,2/10/2016 18:09,2/10/2016 23:59,Akron,OH,US/Eastern,4,19.9,78,12.7,0,Light Snow
A-87,201,3,2/10/2016 18:41,2/10/2016 19:11,Mansfield,OH,US/Eastern,7,16,77,11.5,0,Overcast
A-88,201,3,2/11/2016 5:32,2/11/2016 6:02,Cleveland,OH,US/Eastern,9,14,56,11.5,0,Light Snow
A-89,201,3,2/11/2016 5:30,2/11/2016 6:00,Akron,OH,US/Eastern,4,14,74,10.4,0,Light Snow
A-95,201,3,2/11/2016 7:21,2/11/2016 7:51,Akron,OH,US/Eastern,2,12,80,8.1,0,Light Snow
A-121,201,3,2/11/2016 19:22,2/11/2016 21:00,Columbus,OH,US/Eastern,10,17.1,62,3.5,0,Mostly Cloudy
A-124,201,2,2/12/2016 16:42,2/12/2016 17:27,Dayton,OH,US/Eastern,7,25.5,66,16.1,0,Light Snow
A-125,246,3,2/12/2016 17:47,2/12/2016 18:52,Columbus,OH,US/Eastern,3,23,80,12.7,0,Light Snow
A-126,201,3,2/12/2016 20:04,2/12/2016 23:59,Columbus,OH,US/Eastern,5,19,71,24.2,0,Light Snow
A-127,201,3,2/12/2016 20:12,2/12/2016 23:59,Columbus,OH,US/Eastern,5,19,71,24.2,0,Light Snow
A-129,201,3,2/12/2016 23:48,2/13/2016 1:00,Columbus,OH,US/Eastern,10,16,68,13.8,0,Mostly Cloudy
A-139,201,3,2/14/2016 18:15,2/14/2016 19:30,Columbus,OH,US/Eastern,0.5,15.8,79,10.4,0,Snow
A-143,241,3,2/15/2016 5:42,2/15/2016 6:12,Columbus,OH,US/Eastern,5,21.9,89,5.8,0,Light Freezing Drizzle
A-145,241,2,2/15/2016 7:02,2/15/2016 7:32,Columbus,OH,US/Eastern,3,23,86,5.8,0,Light Freezing Drizzle
A-146,201,3,2/15/2016 7:17,2/15/2016 7:47,Dayton,OH,US/Eastern,0.2,23,96,5.8,0,Light Freezing Drizzle
A-147,241,2,2/15/2016 7:15,2/15/2016 7:45,Dayton,OH,US/Eastern,1.5,24.1,98,5.8,0,Light Snow
A-150,241,2,2/15/2016 7:28,2/15/2016 7:58,Dayton,OH,US/Eastern,0.8,24.1,96,4.6,0,Light Freezing Drizzle
A-151,201,2,2/15/2016 7:37,2/15/2016 8:07,Cleveland,OH,US/Eastern,4,21,85,11.5,0,Light Snow
A-152,241,3,2/15/2016 7:46,2/15/2016 8:16,Dayton,OH,US/Eastern,0.8,24.1,96,4.6,0,Light Freezing Drizzle
A-154,241,2,2/15/2016 8:00,2/15/2016 8:30,Columbus,OH,US/Eastern,1,24.1,91,5.8,0.01,Light Freezing Drizzle
A-155,241,2,2/15/2016 8:11,2/15/2016 8:41,Dayton,OH,US/Eastern,0.8,25,96,6.9,0,Overcast
A-156,241,2,2/15/2016 8:10,2/15/2016 8:40,Westerville,OH,US/Eastern,1,24.1,91,5.8,0.01,Light Freezing Drizzle
A-158,201,2,2/15/2016 8:31,2/15/2016 9:01,Columbus,OH,US/Eastern,1,26.1,88,5.8,0.01,Light Freezing Drizzle
A-159,201,2,2/15/2016 8:39,2/15/2016 9:09,Dayton,OH,US/Eastern,2.5,27,98,3.5,0,Light Freezing Drizzle
A-163,201,2,2/15/2016 12:53,2/15/2016 13:23,Columbus,OH,US/Eastern,2,30.9,89,8.1,0,Mostly Cloudy
A-168,241,3,2/16/2016 4:05,2/16/2016 4:35,Columbus,OH,US/Eastern,1.2,32,100,8.1,0.04,Light Snow
A-169,201,3,2/16/2016 4:32,2/16/2016 5:02,Akron,OH,US/Eastern,1.2,34,89,6.9,0.03,Light Snow
A-172,241,3,2/16/2016 6:05,2/16/2016 6:50,Columbus,OH,US/Eastern,5,33.1,96,8.1,0,Overcast
A-173,201,3,2/16/2016 6:17,2/16/2016 6:47,Dublin,OH,US/Eastern,5,33.1,96,8.1,0,Overcast
A-175,201,2,2/16/2016 6:29,2/16/2016 6:59,Columbus,OH,US/Eastern,2,32,92,10.4,0.01,Overcast
A-178,341,3,2/16/2016 6:47,2/16/2016 7:17,Strongsville,OH,US/Eastern,1.8,32,92,8.1,0.02,Light Snow
A-186,201,2,2/16/2016 7:55,2/16/2016 8:25,Mansfield,OH,US/Eastern,5,30,100,10.4,0,Overcast
A-187,201,3,2/16/2016 7:56,2/16/2016 8:26,Akron,OH,US/Eastern,1.8,34,89,6.9,0,Light Snow
A-199,201,2,2/16/2016 11:11,2/16/2016 11:41,Dayton,OH,US/Eastern,1.8,30,92,5.8,0,Light Snow
A-205,406,3,2/16/2016 16:47,2/16/2016 21:00,Columbus,OH,US/Eastern,7,32,75,9.2,0,Overcast
A-210,201,2,2/17/2016 6:44,2/17/2016 7:14,Akron,OH,US/Eastern,7,28,81,5.8,0,Overcast
A-213,201,3,2/17/2016 7:22,2/17/2016 7:52,Akron,OH,US/Eastern,7,28,81,5.8,0,Overcast
A-224,201,3,2/17/2016 8:28,2/17/2016 8:58,Independence,OH,US/Eastern,6,30,82,10.4,0,Light Snow
A-352,201,2,2/24/2016 5:14,2/24/2016 5:44,Moraine,OH,US/Eastern,4,41,93,20.7,0,Light Rain
A-353,248,2,2/24/2016 5:28,2/24/2016 5:58,Dayton,OH,US/Eastern,3,42.1,89,17.3,0.06,Rain
A-354,201,3,2/24/2016 5:27,2/24/2016 5:57,Dayton,OH,US/Eastern,2.5,37.9,100,21.9,0.18,Heavy Rain
A-355,201,3,2/24/2016 6:14,2/24/2016 6:44,Bowling Green,OH,US/Eastern,3,33.1,85,15,0.05,Light Freezing Rain
